timestamp,symbol,price,size,type
1748406136.8524532,AAPL,100.0038300264962,355,order
1748406136.9524531,AAPL,100.06587476630975,485,order
1748406137.0524533,AAPL,100.06543183071082,256,order
1748406137.1524532,AAPL,100.04164393131424,295,order
1748406137.2524533,AAPL,100.05268572582224,274,order
1748406137.3524532,AAPL,100.13646087039413,498,order
1748406137.4524531,AAPL,100.18277692704336,173,order
1748406137.5524533,AAPL,100.14480744922326,180,order
1748406137.6524532,AAPL,100.1889916947207,486,order
1748406137.7524533,AAPL,100.11772415512975,97,order
1748406137.8524532,AAPL,100.13680752821098,36,order
1748406137.9524531,AAPL,100.11281629637939,66,order
1748406138.0524533,AAPL,100.1063861897352,39,order
1748406138.1524532,AAPL,100.12356766754354,141,order
1748406138.2524533,AAPL,100.1210201226434,328,order
1748406138.3524532,AAPL,100.0966278184269,439,order
1748406138.4524531,AAPL,100.058558443658,355,order
1748406138.5524533,AAPL,100.05482689552757,187,order
1748406138.6524532,AAPL,100.0599251610681,356,order
1748406138.7524533,AAPL,99.97457902833872,81,order
1748406138.8524532,AAPL,100.03668639168527,393,order
1748406138.9524531,AAPL,100.06574562156952,13,order
1748406139.0524533,AAPL,100.07782447195757,243,order
1748406139.1524532,AAPL,100.08645513733197,45,order
1748406139.2524533,AAPL,100.08594418151499,468,order
1748406139.3524532,AAPL,100.13578026282029,158,order
1748406139.4524531,AAPL,100.21515617673685,490,order
1748406139.5524533,AAPL,100.15399849286149,237,order
1748406139.6524532,AAPL,100.10798419061832,215,order
1748406139.7524533,AAPL,100.07791440561488,391,order
1748406139.8524532,AAPL,100.09643997272745,319,order
1748406139.9524531,AAPL,100.02684203519988,436,order
1748406140.0524533,AAPL,100.08689191119292,470,order
1748406140.1524532,AAPL,100.12545728338448,342,order
1748406140.2524533,AAPL,100.04100200244544,201,order
1748406140.3524532,AAPL,100.112144313594,40,order
1748406140.4524531,AAPL,100.12367764426551,155,order
1748406140.5524533,AAPL,100.12271532523556,13,order
1748406140.6524532,AAPL,99.99939069046647,258,order
1748406140.7524533,AAPL,99.98870843105115,253,order
1748406140.8524532,AAPL,99.95170940638752,14,order
1748406140.9524531,AAPL,99.86951935812607,305,order
1748406141.0524533,AAPL,99.94094724848512,326,order
1748406141.1524532,AAPL,99.84035197019104,100,order
